m_mistrust,credences
0.1,"[[0.0, 0.999999998777021], [0.0, 0.9999999999649251], [0.0, 0.9999999999512406], [0.0, 0.999999999560925], [0.0, 0.9999999973548027], [0.0, 0.9999999998924245], [0.0, 0.9999999990318463], [0.0, 0.9999999998352168], [0.0, 0.9999999966102943], [0.0, 0.9999999988380501], [1.0, 0.9999999999547282], [1.0, 0.9999999999960745], [1.0, 0.9999999999571032], [1.0, 0.999999999935379], [1.0, 0.9999999999792037], [1.0, 0.9999999999591774], [1.0, 0.9999999997382729], [1.0, 0.9999999999700618], [1.0, 0.9999999995761797], [1.0, 0.9999999999154551]]"
4,"[[0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0]]"
4,"[[0.0, 1.0], [0.0, 9.34326373776917e-42], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.3896874164191323e-50], [0.0, 1.0], [0.0, 1.0], [1.0, 1.0000000000000002], [1.0, 0.9999999999999998], [1.0, 2.1183302126429073e-32], [1.0, 0.9999999999999998], [1.0, 0.9999999999999998], [1.0, 1.0], [1.0, 1.0], [1.0, 0.9999999999999998], [1.0, 0.9999999999999998], [1.0, 0.9999999999999998]]"
2,"[[0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [1.0, 0.9999999999455453], [1.0, 0.9999999998359239], [1.0, 0.9999999994470382], [1.0, 0.9999999998990543], [1.0, 0.9999999991823517], [1.0, 0.9999999969404795], [1.0, 0.9999999995405227], [1.0, 0.999999997890614], [1.0, 0.9999999999044583], [1.0, 0.9999999994088509]]"
1,"[[0.0, 0.9999999999809197], [0.0, 0.9999999999697429], [0.0, 0.9999999997719519], [0.0, 0.9999999997872455], [0.0, 0.9999999999281304], [0.0, 0.999999999896297], [0.0, 0.9999999998560746], [0.0, 0.9999999999697904], [0.0, 0.9999999998763381], [0.0, 0.9999999999466523], [1.0, 0.9999998040115838], [1.0, 0.9999997541812161], [1.0, 0.9999998507738416], [1.0, 0.9999999535468297], [1.0, 0.9999998341945894], [1.0, 0.99999996396967], [1.0, 0.9999996368518836], [1.0, 0.9999998582626624], [1.0, 0.9999994149326051], [1.0, 0.9999997908243825]]"
3,"[[0.0, 1.0], [0.0, 1.6069442669897252e-41], [0.0, 1.0], [0.0, 1.0], [0.0, 0.9999999999999998], [0.0, 1.0], [0.0, 4.305506795867156e-40], [0.0, 3.508213957213319e-45], [0.0, 8.46574632655082e-40], [0.0, 2.5691152450093215e-38], [1.0, 0.9999999999999998], [1.0, 0.9999999999999998], [1.0, 3.6206091491839827e-33], [1.0, 0.9999999999999998], [1.0, 0.9999999938141014], [1.0, 0.9999999999999998], [1.0, 0.9999999999999998], [1.0, 0.9999999896529544], [1.0, 0.9999999999999998], [1.0, 0.9999999999999998]]"
0.1,"[[0.0, 0.9999999999342895], [0.0, 0.9999999999992413], [0.0, 0.9999999999925147], [0.0, 0.9999999999877296], [0.0, 0.9999999991315901], [0.0, 0.9999999999971421], [0.0, 0.9999999999938531], [0.0, 0.9999999999598739], [0.0, 0.9999999999977711], [0.0, 0.999999999917462], [1.0, 0.9999999998631934], [1.0, 0.9999999995087038], [1.0, 0.9999999995835279], [1.0, 0.9999999999525078], [1.0, 0.9999999998513384], [1.0, 0.9999999998001471], [1.0, 0.9999999999492848], [1.0, 0.999999999965895], [1.0, 0.9999999976720091], [1.0, 0.9999999996959062]]"
2,"[[0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [1.0, 0.9999996418481432], [1.0, 0.9999977096827251], [1.0, 0.9999987946715636], [1.0, 0.9999998293716568], [1.0, 0.9999996133780663], [1.0, 0.9999996588141928], [1.0, 0.9999992280240165], [1.0, 0.999998808114311], [1.0, 0.999999474453065], [1.0, 0.9999996891601487]]"
1,"[[0.0, 0.9999671203399736], [0.0, 0.9998851353537173], [0.0, 0.9999892131194689], [0.0, 0.9999251129789914], [0.0, 0.9991454939990332], [0.0, 0.9999812893129929], [0.0, 0.9999749348744001], [0.0, 0.9999225428856569], [0.0, 0.9999952374104513], [0.0, 0.9999934557326342], [1.0, 0.9999999208767146], [1.0, 0.9999999545020075], [1.0, 0.9999999894267638], [1.0, 0.9999999794536585], [1.0, 0.9999999696334626], [1.0, 0.9999999843494922], [1.0, 0.9999999801135876], [1.0, 0.9999999698854849], [1.0, 0.999999997744904], [1.0, 0.9999999896742026]]"
2,"[[0.0, 0.9989351210701474], [0.0, 0.999865440116462], [0.0, 0.999028723319085], [0.0, 0.9997745378115679], [0.0, 0.999308018947029], [0.0, 0.9985509286194987], [0.0, 0.9988347704085828], [0.0, 0.9995419317385646], [0.0, 0.9998371533283565], [0.0, 0.9999034725022796], [1.0, 0.9999967535258937], [1.0, 0.9999468298159966], [1.0, 0.9999979473879492], [1.0, 0.9999931739926297], [1.0, 0.9999829721809899], [1.0, 0.9999787756745715], [1.0, 0.9998452327660967], [1.0, 0.9999863144994604], [1.0, 0.9999630030117771], [1.0, 0.9999514863797051]]"
